compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,geometry
C1Nb1,aflow:6186072d704e10a2,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618453,225,cF8,"['C', 'Nb']","[3.18664, 3.18664, 3.18664, 60, 60, 60]"
C1Nb1,aflow:627b75db5b51576a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618471,225,cF8,"['C', 'Nb']","[3.18451, 3.18451, 3.18451, 60, 60, 60]"
C1Nb1,aflow:6ee50d256c112b06,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_189089,225,cF8,"['C', 'Nb']","[3.1841, 3.1841, 3.1841, 60, 60, 60]"
C1Nb1,aflow:7291a227092ef04c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_44355,225,cF8,"['C', 'Nb']","[3.18465, 3.18465, 3.18465, 60, 60, 60]"
C1Nb1,aflow:725c78e6ed8ac310,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618473,225,cF8,"['C', 'Nb']","[3.18437, 3.18437, 3.18437, 60, 60, 60]"
C1Nb1,aflow:8416098a91dbc14d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618465,225,cF8,"['C', 'Nb']","[3.18437, 3.18437, 3.18437, 60, 60, 60]"
C1Nb1,aflow:8e3422b6285dd3d9,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618460,225,cF8,"['C', 'Nb']","[3.18462, 3.18462, 3.18462, 60, 60, 60]"
C1Nb1,aflow:9b103e465983c9ae,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_26955,225,cF8,"['C', 'Nb']","[3.18459, 3.18459, 3.18459, 60, 60, 60]"
C1Nb1,aflow:9d49287a6d1da95a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_183163,225,cF8,"['C', 'Nb']","[3.18612, 3.18612, 3.18612, 60, 60, 60]"
C1Nb1,aflow:9fa8d5025797d2c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_181792,225,cF8,"['C', 'Nb']","[3.18284, 3.18284, 3.18284, 60, 60, 60]"
C1Nb1,aflow:a38955a209dd38ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618462,225,cF8,"['C', 'Nb']","[3.18453, 3.18453, 3.18453, 60, 60, 60]"
C1Nb1,aflow:b7e79ad06eff8796,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618481,225,cF8,"['C', 'Nb']","[3.18296, 3.18296, 3.18296, 60, 60, 60]"
C1Nb1,aflow:c06df141a7d92275,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618483,225,cF8,"['C', 'Nb']","[3.18331, 3.18331, 3.18331, 60, 60, 60]"
C1Nb1,aflow:c9c319596bed6503,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618484,225,cF8,"['C', 'Nb']","[3.1834, 3.1834, 3.1834, 60, 60, 60]"
C1Nb1,aflow:d188d3a352409f2d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618448,225,cF8,"['C', 'Nb']","[3.18403, 3.18403, 3.18403, 60, 60, 60]"
C1Nb1,aflow:d6c9ab19dcb81c5b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618449,225,cF8,"['C', 'Nb']","[3.1846, 3.1846, 3.1846, 60, 60, 60]"
C1Nb1,aflow:da49b2ca4f3a5480,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618472,225,cF8,"['C', 'Nb']","[3.18442, 3.18442, 3.18442, 60, 60, 60]"
C1Nb1,aflow:dc96ddaddb6c935b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_155164,225,cF8,"['C', 'Nb']","[3.18342, 3.18342, 3.18342, 60, 60, 60]"
C1Nb1,aflow:dead1c1f7f3a83bc,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618458,225,cF8,"['C', 'Nb']","[3.18666, 3.18666, 3.18666, 60, 60, 60]"
C1Nb1,aflow:e0041b027140f7ed,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_94449,225,cF8,"['C', 'Nb']","[3.1876, 3.1876, 3.1876, 60, 60, 60]"
C1Nb1,aflow:e0289be0dc23d4e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_187077,225,cF8,"['C', 'Nb']","[3.18371, 3.18371, 3.18371, 60, 60, 60]"
C1Nb1,aflow:e6e4bc88940142c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_159872,225,cF8,"['C', 'Nb']","[3.18325, 3.18325, 3.18325, 60, 60, 60]"
C1Nb1,aflow:efe2a6a1aab68541,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_44496,225,cF8,"['C', 'Nb']","[3.18662, 3.18662, 3.18662, 60, 60, 60]"
C1Nb1,aflow:f0699aa1cca3a540,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_77214,225,cF8,"['C', 'Nb']","[3.18437, 3.18437, 3.18437, 60, 60, 60]"
C1Nb1,aflow:f4a12647d9e406b6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618476,225,cF8,"['C', 'Nb']","[3.1842, 3.1842, 3.1842, 60, 60, 60]"
C1Nb1,aflow:f77d63fe71957820,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618466,225,cF8,"['C', 'Nb']","[3.18367, 3.18367, 3.18367, 60, 60, 60]"
C1Nb1,aflow:f8bf3cf03e13ce9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618469,225,cF8,"['C', 'Nb']","[3.18437, 3.18437, 3.18437, 60, 60, 60]"
C1Ni1,aflow:e9301e24b4623b39,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ni1_ICSD_180457,225,cF8,"['C', 'Ni']","[2.85224, 2.85224, 2.85224, 60, 60, 60]"
C1Os1,aflow:b9b80ada4f357c6b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Os1_ICSD_185982,225,cF8,"['C', 'Os']","[3.08151, 3.08151, 3.08151, 60, 60, 60]"
C1Pa1,aflow:fb1cd92584ed214f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pa1_ICSD_108177,225,cF8,"['C', 'Pa']","[3.59129, 3.59129, 3.59129, 60, 60, 60]"
C1Pa1,aflow:fcb8da1b77a7de3f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pa1_ICSD_618623,225,cF8,"['C', 'Pa']","[3.59095, 3.59095, 3.59095, 60, 60, 60]"
C1Pd1,aflow:69d79a16d36ee778,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pd1_ICSD_183173,225,cF8,"['C', 'Pd']","[3.12933, 3.12933, 3.12933, 60, 60, 60]"
C1Pd1,aflow:fea5bd3abdf35cf1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pd1_ICSD_181774,225,cF8,"['C', 'Pd']","[3.12942, 3.12942, 3.12942, 60, 60, 60]"
C1Pt1,aflow:13435caa82fe4e49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181114,225,cF8,"['C', 'Pt']","[3.14945, 3.14945, 3.14945, 60, 60, 60]"
C1Pt1,aflow:c0b507c919c8c1f6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_185984,225,cF8,"['C', 'Pt']","[3.14887, 3.14887, 3.14887, 60, 60, 60]"
C1Pt1,aflow:d17c8a455a0d4f17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181345,225,cF8,"['C', 'Pt']","[3.14962, 3.14962, 3.14962, 60, 60, 60]"
C1Pu1,aflow:257936faf6785e79,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618665,225,cF8,"['C', 'Pu']","[3.52544, 3.52544, 3.52544, 60, 60, 60]"
C1Pu1,aflow:5cb46318869a4a70,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618670,225,cF8,"['C', 'Pu']","[3.52496, 3.52496, 3.52496, 60, 60, 60]"
C1Pu1,aflow:5f74025cd78a8182,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_77305,225,cF8,"['C', 'Pu']","[3.52435, 3.52435, 3.52435, 60, 60, 60]"
C1Pu1,aflow:88e69408c087daa4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618671,225,cF8,"['C', 'Pu']","[3.52377, 3.52377, 3.52377, 60, 60, 60]"
C1Pu1,aflow:93392054fcfff716,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_31719,225,cF8,"['C', 'Pu']","[3.52474, 3.52474, 3.52474, 60, 60, 60]"
C1Pu1,aflow:aeda4a4d6b30f06a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618675,225,cF8,"['C', 'Pu']","[3.53148, 3.53148, 3.53148, 60, 60, 60]"
C1Pu1,aflow:c29f8b8a7e63eeaa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618676,225,cF8,"['C', 'Pu']","[3.52601, 3.52601, 3.52601, 60, 60, 60]"
C1Pu1,aflow:e8527346a8162154,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pu1_ICSD_618678,225,cF8,"['C', 'Pu']","[3.52561, 3.52561, 3.52561, 60, 60, 60]"
C1Re1,aflow:519a5865dda16e17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Re1_ICSD_77350,225,cF8,"['C', 'Re']","[3.08897, 3.08897, 3.08897, 60, 60, 60]"
C1Re1,aflow:9a20485122114e84,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Re1_ICSD_185981,225,cF8,"['C', 'Re']","[3.09818, 3.09818, 3.09818, 60, 60, 60]"
C1Rh1,aflow:3a4b13f181909c0b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_181773,225,cF8,"['C', 'Rh']","[3.0734, 3.0734, 3.0734, 60, 60, 60]"
C1Rh1,aflow:a4650fbe13f71ea1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Rh1_ICSD_183171,225,cF8,"['C', 'Rh']","[3.07357, 3.07357, 3.07357, 60, 60, 60]"
C1Ru1,aflow:4990d46926dfee7a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ru1_ICSD_183169,225,cF8,"['C', 'Ru']","[3.04763, 3.04763, 3.04763, 60, 60, 60]"
C1Sc1,aflow:ae57dbb8516508a7,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_181047,225,cF8,"['C', 'Sc']","[3.36482, 3.36482, 3.36482, 60, 60, 60]"
C1Sc1,aflow:d712f48afd00ad2b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_43524,225,cF8,"['C', 'Sc']","[3.3667, 3.3667, 3.3667, 60, 60, 60]"
C1Sc1,aflow:e9b28a327b4f0028,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_189084,225,cF8,"['C', 'Sc']","[3.36481, 3.36481, 3.36481, 60, 60, 60]"
C1Si1,aflow:0e5c7dd4d4402dff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Si1_ICSD_182362,225,cF8,"['C', 'Si']","[2.8694, 2.8694, 2.8694, 60, 60, 60]"
C1Sn1,aflow:01f0334da2961bb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,225,cF8,"['C', 'Sn']","[3.46329, 3.46329, 3.46329, 60, 60, 60]"
C1Ta1,aflow:00a1069b6142347c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_185979,225,cF8,"['C', 'Ta']","[3.18512, 3.18512, 3.18512, 60, 60, 60]"
C1Ta1,aflow:0961d0e6049cfdf0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_601144,225,cF8,"['C', 'Ta']","[3.18554, 3.18554, 3.18554, 60, 60, 60]"
C1Ta1,aflow:0b9d4467cef30c36,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618844,225,cF8,"['C', 'Ta']","[3.18599, 3.18599, 3.18599, 60, 60, 60]"
C1Ta1,aflow:181ba7fa2b2601c1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618841,225,cF8,"['C', 'Ta']","[3.186, 3.186, 3.186, 60, 60, 60]"
