compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
C1Ca1,aflow:e405c0ccdd255754,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCa_sv/720.AB,225,cF8,"['C', 'Ca']","[0.815, 0.135]",,,,1.13057,2,36.9418,,,,,
C1Cd1,aflow:228515a5e5c206a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cd1_ICSD_183177,225,cF8,"['C', 'Cd']","[0, 0]",0.0,7.05804e-05,254.052,,2,28.6,100.944,0.384193,25.3362,70.1405,2.96884
C1Cd1,aflow:5c11d3fe338ee4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/201,225,cF8,"['C', 'Cd']","[0, 0]",,,,1.97771,2,28.5737,,,,,
C1Cd1,aflow:7ba2f6b4713017d4,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.BA,225,cF8,"['C', 'Cd']","[0, 0]",,,,1.97771,2,28.5737,,,,,
C1Cd1,aflow:b86d586a4d8c7933,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/720.AB,225,cF8,"['C', 'Cd']","[0, 0]",,,,1.97771,2,28.5737,,,,,
C1Cd1,aflow:d49918f57adc69db,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCd/4,225,cF8,"['C', 'Cd']","[0, 0]",,,,1.97775,2,28.5758,,,,,
C1Ce1,aflow:04ca355af458d4a6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_617324,225,cF8,"['C', 'Ce']","[0, 0]",0.0,2.86091e-05,416.023,,2,34.9546,130.533,0.264698,72.8587,184.289,28.801
C1Ce1,aflow:8c6f386723161234,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ce1_ICSD_76769,225,cF8,"['C', 'Ce']","[0, 0]",0.0,,,,2,34.9728,,,,,
C1Co1,aflow:1dd7181652ef69b2,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/201,225,cF8,"['C', 'Co']","[0.026, 0.274]",,,,0.819653,2,16.1057,,,,,
C1Co1,aflow:1f70e72def8afb2f,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.AB,225,cF8,"['C', 'Co']","[0.026, 0.274]",,,,0.819653,2,16.1057,,,,,
C1Co1,aflow:d63b49bad3700680,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/4,225,cF8,"['C', 'Co']","[0.026, 0.274]",,,,0.819668,2,16.1085,,,,,
C1Co1,aflow:ffb09b43141f024b,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCo/720.BA,225,cF8,"['C', 'Co']","[0.026, 0.274]",,,,0.819653,2,16.1057,,,,,
C1Cr1,aflow:0966002967d38874,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/720.AB,225,cF8,"['C', 'Cr']","[0, -0.002]",,,,0.173295,2,16.8723,,,,,
C1Cr1,aflow:22440a101d4cd4d9,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/4,225,cF8,"['C', 'Cr']","[0, 0]",,,,0.173466,2,16.869,,,,,
C1Cr1,aflow:48383caf30281ea0,aflowlib.duke.edu:AFLOWDATA/LIB2_WEB/CCr_pv/ICSD_57008.AB,225,cF8,"['C', 'Cr']","[0, -0.003]",,,,0.173298,2,16.879,,,,,
C1Cr1,aflow:a079dcce0f9df11e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_57008,225,cF8,"['C', 'Cr']","[-0.383, 2.569]",0.0,,,,2,18.5965,,,,,
C1Cr1,aflow:ad068074911a4b9b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Cr1_ICSD_603179,225,cF8,"['C', 'Cr']","[-0.386, 2.575]",0.0,,,,2,18.6683,,,,,
