compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
C1Nb1,aflow:f8bf3cf03e13ce9f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Nb1_ICSD_618469,225,cF8,"['C', 'Nb']",[0],0,,,,2,22.8326,,,,,
C1Ni1,aflow:e9301e24b4623b39,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ni1_ICSD_180457,225,cF8,"['C', 'Ni']","[0, 0]",0,3.90586e-05,496.981,,2,16.4075,264.689,0.379263,69.5103,191.746,12.2368
C1Os1,aflow:b9b80ada4f357c6b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Os1_ICSD_185982,225,cF8,"['C', 'Os']","[0, 0]",0,,,,2,20.6908,,,,,
C1Pa1,aflow:fb1cd92584ed214f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pa1_ICSD_108177,225,cF8,"['C', 'Pa']","[0, 0]",0,2.08027e-05,316.019,,2,32.7518,185.272,0.315993,77.7165,204.549,30.8236
C1Pa1,aflow:fcb8da1b77a7de3f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pa1_ICSD_618623,225,cF8,"['C', 'Pa']","[0, 0]",0,,,,2,32.7426,,,,,
C1Pd1,aflow:69d79a16d36ee778,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pd1_ICSD_183173,225,cF8,"['C', 'Pd']","[0, 0]",0,,,,2,21.6691,,,,,
C1Pd1,aflow:fea5bd3abdf35cf1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pd1_ICSD_181774,225,cF8,"['C', 'Pd']","[0, 0]",0,4.45288e-05,341.987,,2,21.6709,210.867,0.396147,47.056,131.394,5.43069
C1Pt1,aflow:13435caa82fe4e49,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181114,225,cF8,"['C', 'Pt']","[0, 0]",0,3.54733e-05,248.065,,2,22.0896,259.283,0.422009,42.6618,121.331,3.85442
C1Pt1,aflow:c0b507c919c8c1f6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_185984,225,cF8,"['C', 'Pt']","[0, 0]",0,,,,2,22.0776,,,,,
C1Pt1,aflow:d17c8a455a0d4f17,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Pt1_ICSD_181345,225,cF8,"['C', 'Pt']","[0, 0]",0,,,,2,22.0933,,,,,
