compound,binding_metal,spin_d_carbon,spin_d_metal,egap,thermal_expansion,debye_temperature,formation_enthalpy,lattice_parameter,bulk_modulus,poissons_ratio,shear_modulus,youngs_modulus,thermal_conductivity,run_count,source
C4Mg4,Mg,-0.116,-0.005,,,,1.32546,4.623518493102031,,,,,,1,aflow
C4Nb4,Nb,0.0,0.0,,,,-0.542754,4.48257956245948,,,,,,1,aflow
C4Rb4,Rb,1.208,0.075,,,,2.30427,6.4796841028750585,,,,,,1,aflow
C4Sc4,Sc,0.0,0.0,,,,-0.140642,4.686030650575186,,,,,,1,aflow
C4Si4,Si,0.0,0.0,,,,0.534996,4.054037532264999,,,,,,1,aflow
C4Ta4,Ta,0.0,0.0,,,,-0.581093,4.4811341861583465,,,,,,1,aflow
C4Ti4,Ti,0.0,0.0,,,,-0.818757,4.337691899900102,,,,,,2,aflow
C4V4,V,0.0,0.0,,,,-0.418783,4.163281588421388,,,,,,1,aflow
C4Y4,Y,0.0,0.0,,,,0.0385653,5.094020925577521,,,,,,2,aflow
C4Zr4,Zr,0.0,0.0,,,,-0.8127093333333333,4.724438838059176,,,,,,3,aflow
C8Cr8,Cr,-0.115,1.364,,,,0.158124,4.102803951488882,,,,,,1,aflow
C8Hf8,Hf,0.0,0.0,,,,-0.946631,4.650352615184005,,,,,,1,aflow
C8Mn8,Mn,-0.139,2.012,,,,0.309436,4.079483065995369,,,,,,1,aflow
C8Mo8,Mo,0.0,0.0,,,,0.213787,4.383009545238104,,,,,,1,aflow
C8Nb8,Nb,0.0,0.0,,,,-0.544768,4.484746709466685,,,,,,1,aflow
C8Sc8,Sc,0.0,0.0,,,,-0.142041,4.686068599981579,,,,,,1,aflow
C8Ta8,Ta,0.0,0.0,,,,-0.586216,4.481006364054704,,,,,,1,aflow
C8Ti8,Ti,0.0,0.0,,,,-0.818546,4.337698100451315,,,,,,1,aflow
C8Ti8,Ti,0.0,0.0,0.0,,,,4.403139976313448,,,,,,1,icsd
C8W8,W,0.0,0.0,,,,0.323987,4.390527140965533,,,,,,1,aflow
C8Y8,Y,0.0,0.0,,,,0.0367497,5.094502598723582,,,,,,1,aflow
C8Zr8,Zr,0.0,0.0,,,,-0.812065,4.723624824928996,,,,,,1,aflow
